Model,Input,seq_len,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,pcapng_preprocess_mean_ms,pcapng_preprocess_median_ms,pcapng_preprocess_p95_ms,inference_mean_ms,inference_median_ms,inference_p95_ms,pcap_to_prediction_mean_ms,pcap_to_prediction_median_ms,pcap_to_prediction_p95_ms,approx_samples_per_sec,train_seconds,best_epoch,best_val_auc,n_test
TCN,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.82,0.925,0.9168443496801706,0.9347826086956522,0.9257265877287406,0.9818572778827978,7.239002063769199,6.306650000624359,11.650654999539253,5.189512827960045,4.959549987688661,7.862805121112612,12.428514891729245,11.640599928796291,17.66571990447118,80.46013612338076,542.8813570998609,31,0.9867674858223062,920
ResNet1D,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.49,0.9293478260869565,0.9498861047835991,0.9065217391304348,0.9276974416017798,0.976758034026465,7.239002063769199,6.306650000624359,11.650654999539253,1.7396110859092162,1.5202000504359603,2.6851500617340203,8.978613149678415,8.111400064080954,13.62618502462283,111.37577522602328,32.896617399994284,20,0.9838137996219282,920
InceptionTime,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.6,0.9163043478260869,0.9342403628117913,0.8956521739130435,0.9145394006659268,0.9721313799621928,7.239002063769199,6.306650000624359,11.650654999539253,1.37193814760236,1.1813499731943011,2.1578550222329795,8.61094021137156,7.717849919572473,13.148125039879224,116.13133704951355,33.8023163001053,43,0.9752776465028355,920
1D-CNN,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.62,0.9010869565217391,0.9341176470588235,0.8630434782608696,0.8971751412429378,0.9629347826086956,7.239002063769199,6.306650000624359,11.650654999539253,0.8127674991872323,0.65694993827492,1.3820350402966137,8.051769562956432,7.159999920986593,12.571430008392781,124.19630146901795,7.007346100173891,25,0.9760751417769377,920
FCN-1D,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.71,0.8793478260869565,0.9485861182519281,0.8021739130434783,0.8692579505300353,0.9507230623818526,7.239002063769199,6.306650000624359,11.650654999539253,0.654486847444154,0.5566499894484878,1.0336248436942694,7.893488911213353,6.986550055444241,12.191095156595111,126.68669218999185,13.553392899921164,32,0.9599184782608695,920
ROCKET-style,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.84,0.875,0.9136690647482014,0.8282608695652174,0.8688711516533637,0.9454867674858223,7.239002063769199,6.306650000624359,11.650654999539253,1.8348464170349357,1.662599970586598,3.1589899561367925,9.073848480804134,8.14654992427677,13.699789973907166,110.20682151740967,0.941344500053674,,,920
GRU,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.47,0.8358695652173913,0.8395604395604396,0.8304347826086956,0.8349726775956284,0.8951559546313799,7.239002063769199,6.306650000624359,11.650654999539253,0.7731188060817026,0.7077001500874758,1.087829901371151,8.012120869850902,7.086199941113591,12.384750007186083,124.81089791879401,12.5919983999338,50,0.913929584120983,920
BiGRU,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.29,0.7706521739130435,0.77728285077951,0.758695652173913,0.7678767876787679,0.8281805293005672,7.239002063769199,6.306650000624359,11.650654999539253,1.244710436667842,1.167000038549304,1.9863648805767298,8.483712500437042,7.548049790784717,12.869120168033984,117.87292414122763,10.601466999854892,13,0.8328804347826086,920
Transformer Encoder,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.52,0.7423913043478261,0.7337526205450734,0.7608695652173914,0.7470651013874067,0.7656001890359169,7.239002063769199,6.306650000624359,11.650654999539253,0.9007004330076439,0.7637999951839447,1.485505118034779,8.139702496776843,7.216149824671447,12.513069785200054,122.85461297829738,108.37383319996297,47,0.7726252362948961,920
LSTM,pcapng_fast_526 seq_len=506 post-handshake direction-only sequence,506,0.1,0.5,0.5,1.0,0.6666666666666666,0.5680529300567109,7.239002063769199,6.306650000624359,11.650654999539253,0.8062624992580032,0.7419000612571836,1.1124699492938785,8.045264563027203,7.136950036510825,12.43043488357216,124.29672040812646,2.9863442999776453,2,0.5677427930056711,920
