Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,inference_mean_ms,inference_median_ms,inference_p95_ms
TCN,0.9250,0.9168,0.9348,0.9257,0.9819,5.1895,4.9595,7.8628
ResNet1D,0.9293,0.9499,0.9065,0.9277,0.9768,1.7396,1.5202,2.6852
InceptionTime,0.9163,0.9342,0.8957,0.9145,0.9721,1.3719,1.1813,2.1579
1D-CNN,0.9011,0.9341,0.8630,0.8972,0.9629,0.8128,0.6569,1.3820
FCN-1D,0.8793,0.9486,0.8022,0.8693,0.9507,0.6545,0.5566,1.0336
ROCKET-style,0.8750,0.9137,0.8283,0.8689,0.9455,1.8348,1.6626,3.1590
GRU,0.8359,0.8396,0.8304,0.8350,0.8952,0.7731,0.7077,1.0878
BiGRU,0.7707,0.7773,0.7587,0.7679,0.8282,1.2447,1.1670,1.9864
Transformer Encoder,0.7424,0.7338,0.7609,0.7471,0.7656,0.9007,0.7638,1.4855
LSTM,0.5000,0.5000,1.0000,0.6667,0.5681,0.8063,0.7419,1.1125
