candidate_id,channels,kernels,dropout,learning_rate,batch_size,weight_decay,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,val_ROC-AUC,best_epoch
R10,"(64, 128, 128)","(8, 5, 3)",0.0,0.001,128,0.0001,0.5400,0.9293,0.9647,0.8913,0.9266,0.9818,0.9900,33
R02,"(32, 64, 128)","(8, 5, 3)",0.0,0.001,128,0.0001,0.5700,0.9228,0.9332,0.9109,0.9219,0.9780,0.9888,24
R11,"(64, 128, 128)","(8, 5, 3)",0.0,0.0005,64,0.0001,0.3900,0.9391,0.9316,0.9478,0.9397,0.9823,0.9885,23
R03,"(32, 64, 128)","(8, 5, 3)",0.0,0.0005,64,0.0001,0.6400,0.9217,0.9093,0.9370,0.9229,0.9767,0.9877,19
R08,"(32, 64, 128)","(8, 5, 3)",0.1,0.0005,128,0.0001,0.2200,0.9337,0.9328,0.9348,0.9338,0.9759,0.9867,50
R01,"(32, 64, 128)","(8, 5, 3)",0.0,0.001,64,0.0001,0.8300,0.9185,0.9306,0.9043,0.9173,0.9754,0.9860,19
R12,"(64, 128, 128)","(8, 5, 3)",0.0,0.0005,128,0.0001,0.5700,0.9250,0.9374,0.9109,0.9239,0.9791,0.9856,24
R04,"(32, 64, 128)","(8, 5, 3)",0.0,0.0005,128,0.0001,0.6900,0.9163,0.9592,0.8696,0.9122,0.9781,0.9847,15
R13,"(64, 128, 128)","(8, 5, 3)",0.1,0.001,64,0.0001,0.6700,0.9207,0.9368,0.9022,0.9192,0.9756,0.9847,50
R16,"(64, 128, 128)","(8, 5, 3)",0.1,0.0005,128,0.0001,0.1000,0.9315,0.9627,0.8978,0.9291,0.9799,0.9845,49
R06,"(32, 64, 128)","(8, 5, 3)",0.1,0.001,128,0.0001,0.4100,0.9337,0.9716,0.8935,0.9309,0.9770,0.9840,30
R09,"(64, 128, 128)","(8, 5, 3)",0.0,0.001,64,0.0001,0.4900,0.9293,0.9499,0.9065,0.9277,0.9768,0.9838,20
R14,"(64, 128, 128)","(8, 5, 3)",0.1,0.001,128,0.0001,0.7900,0.9228,0.9294,0.9152,0.9222,0.9762,0.9836,25
R05,"(32, 64, 128)","(8, 5, 3)",0.1,0.001,64,0.0001,0.8600,0.9152,0.9134,0.9174,0.9154,0.9744,0.9827,19
R15,"(64, 128, 128)","(8, 5, 3)",0.1,0.0005,64,0.0001,0.8300,0.9196,0.9347,0.9022,0.9181,0.9746,0.9815,16
R07,"(32, 64, 128)","(8, 5, 3)",0.1,0.0005,64,0.0001,0.7200,0.9217,0.9128,0.9326,0.9226,0.9738,0.9806,19
